temperature,number,amp1,cen1,sigma1,fraction1,amp2,cen2,sigma2,fraction2,c1,c2
27.0,1,1352645.5825114006,46.4691533815574,0.005306072620060254,0.7313937868733195,36.393929895217994,45.696502253527235,0.12142073952770242,0.8587644780982542,0.39052309503687815,0.39676347753917585
100.0,2,2827297.3856838336,46.432550893188015,0.004884232812207113,0.8546805886014589,62.39846378416998,45.68836404184941,0.16190550146127353,0.3142583750153991,0.39081388647035026,0.3968303645941871
150.0,3,3981978.5576724517,46.40862514838655,0.004989220842033054,0.9002657960495004,59.81012427666364,45.653769903110245,0.14885443515349098,0.3490433584877476,0.3910042222305997,0.3971149641945822
200.0,4,2257551.9974235487,46.38544217506665,0.005106210099502617,0.8291163447223311,62.42136186796218,45.624396523356694,0.13798396137699476,0.3455082597626189,0.39118884225406825,0.39735696267462006
250.0,5,2453269.807500221,46.360264234051684,0.005107271639165387,0.8463178760320422,70.66877600286895,45.59057666253558,0.12617428212742157,0.38858309491552634,0.3913895651607554,0.3976359923126504
300.0,6,2122526.480583417,46.33404572188569,0.005583985865480705,0.8627805729567135,99.45732283638947,45.58567626786885,0.164943450258986,0.4354037345335385,0.3915988228331135,0.39767645823804293
350.0,7,1752665.3090670463,46.30749246369437,0.005107490384327337,0.7867615192204902,63.83012703719566,45.539296813834106,0.12778790947331156,0.4152661602097378,0.39181100131660634,0.39805988957206623
400.0,8,2519035.371212416,46.28059783764638,0.005048012429344692,0.8523410115662182,64.27350265923286,45.51719736886488,0.1380483333730791,0.5881722019752674,0.3920261635384304,0.3982428747635735
450.0,9,2231576.1279600468,46.25445743277881,0.005294987097327921,0.8556544694091202,59.86686162936312,45.52308794434713,0.14869915338232256,0.6455052764911438,0.3922355391464494,0.3981940824315565
500.0,10,3233906.9784891875,46.229567443186646,0.004982228354857369,0.8948152335018587,61.09184071675042,45.53701911872759,0.1351563114509674,0.6582773654889726,0.3924351263131478,0.39807874061465537
550.0,11,2561581.522592902,46.20542724490743,0.004809348382188806,0.8574981250062179,52.82530505350988,45.559874433002804,0.15792695592133565,0.7529850141840656,0.3926289129054221,0.39788966964156813
600.0,12,1991212.241956485,46.18238009127504,0.005053771433937697,0.8558974233944361,48.614229087117664,45.56662276629233,0.15734704562767615,0.7445192516943355,0.3928141199715337,0.39783388130501013
650.0,13,2746640.992325876,46.158714481819565,0.005173270103607384,0.9101221881891779,57.88652967438298,45.57569108598726,0.15292048063777214,0.8429339970156471,0.39300449541560584,0.3977589404906111
700.0,14,3443922.415228714,46.13551017080416,0.0050537026430947695,0.9263102960019504,44.11199643178191,45.607464185657086,0.17470592429478254,0.9393248794617135,0.39319135553872864,0.39749660906891315
750.0,15,2730109.096248657,46.11209528891013,0.004923652169826068,0.8680371812833865,78.27743577225914,45.58623500582584,0.14994013890457053,0.6789006575691162,0.3933801079131401,0.39767184390214216
25.0,16,2372310.4300418687,46.46876920596056,0.005061157219727081,0.8603230175853045,33.763909180087836,45.98709136716475,0.15850523297417457,0.3735996933522815,0.3905261446970111,0.39439114455994795
