temperature,sample_width,beam_width,offset,resolution_width,I0,background,energy,SrTiO3_thickness,SrTiO3_roughness,SrTiO3_density,SrRuO3_thickness,SrRuO3_roughness,SrRuO3_density
25.0,5,0.4,0,0.002,19.549493893288627,0.00023447817931709913,8047.8231,inf,0.0028647653607771772,5130,372.0137332432076,7.675381604293106,5437.005561146827
27.0,5,0.4,0,0.002,17.837681000386354,0.0008352317560778033,8047.8231,inf,0.002704528306135545,5130,350.7854882138532,8.588358749384392,5603.827840756328
100.0,5,0.4,0,0.002,17.459417897827688,0.001195247943994504,8047.8231,inf,2.2736380687725126,5130,349.6768775969369,8.327788216691317,5599.044093233031
150.0,5,0.4,0,0.002,16.875579691625855,0.0011943106008853732,8047.8231,inf,5.9707193023085745,5130,339.2107647734536,9.289117410415415,5604.969618479145
200.0,5,0.4,0,0.002,16.35456718731718,0.0010702055800497767,8047.8231,inf,0.0000762516705332672,5130,343.1941340391132,8.062929672366536,5673.07460630384
250.0,5,0.4,0,0.002,16.978015861772878,0.0006622446187098951,8047.8231,inf,12.096529334895195,5130,339.9566496215174,7.867172075577722,5628.443130489211
350.0,5,0.4,0,0.002,17.90978506366723,0.0005116830308034004,8047.8231,inf,9.608415119076422,5130,343.47125856233384,5.275186513944707,5727.920040651404
400.0,5,0.4,0,0.002,17.22458882196861,0.0004501302721835465,8047.8231,inf,9.055605724737198,5130,345.1092845562099,5.194587889826162,5759.106494130956
450.0,5,0.4,0,0.002,16.38681421905967,0.00034855750323625756,8047.8231,inf,10.183501063540687,5130,344.95317430486097,5.015345772601104,5769.2570208878005
500.0,5,0.4,0,0.002,18.06191762375898,0.0003145996836186882,8047.8231,inf,13.904772633862711,5130,340.95877231256776,5.932673715914745,5634.116846788933
550.0,5,0.4,0,0.002,18.043644750131676,0.0002024266324760493,8047.8231,inf,9.653592307667433,5130,349.5998994041053,5.634187756949629,5592.833400606693
600.0,5,0.4,0,0.002,18.18741113329214,6.095124405192109e-13,8047.8231,inf,11.07164374690535,5130,349.1154325828796,5.281525048990327,5617.870773429904
650.0,5,0.4,0,0.002,18.734093978896126,1.0879430689669789e-10,8047.8231,inf,1.6108059377689306,5130,355.7271933688295,5.400328828578823,5526.409690741165
700.0,5,0.4,0,0.002,18.100050592148406,6.550315845288424e-14,8047.8231,inf,6.655549958527149,5130,355.2169111284298,5.510050809869731,5488.247769073961
750.0,5,0.4,0,0.002,17.741073127295856,3.390621117205228e-12,8047.8231,inf,8.966250703805004,5130,366.8013420439731,6.2677607727730145,5399.109584637961
